DNA content,Total MTBP (GFP)
1969.6368082825,25840.80078125
944.366588824586,11962.099609375
1366.7116603599,14113.0
1202.83730340075,15306.5
1861.98277646404,38602.8984375
1454.21072956077,29463.69921875
2063.07554776225,116508.8984375
1368.59521221073,14632.599609375
1132.040723791,17347.900390625
1686.08072919161,56959.6015625
2271.10779095742,23822.30078125
1188.49983412375,19937.599609375
1359.31822930117,24381.599609375
1421.37665191516,28734.0
1484.10454178172,12112.2998046875
923.849940147652,16776.400390625
913.064344915749,9339.099609375
1145.20520536147,17263.69921875
968.594375923785,11715.0
1489.3210626893,14264.400390625
1027.43744009801,17327.69921875
1098.17309829915,19154.900390625
948.493652293381,8605.599609375
1680.47150465193,24312.900390625
1038.0889970936,11489.099609375
940.528874203262,7757.7998046875
1559.05558278808,22787.0
2222.38336067057,19553.400390625
1614.5927417123,21874.30078125
1697.26053160043,20673.69921875
1068.08549585703,15944.599609375
1047.72883548625,16071.2998046875
1520.30255036999,59359.8984375
1100.67466275761,20420.599609375
1215.34178448233,38679.80078125
1437.0816787357,17019.30078125
1728.33579592837,53280.5
1063.96411244644,15717.5
937.695193400246,19309.69921875
1141.32338675877,15394.599609375
948.678643993016,22070.400390625
1983.40504662823,25850.099609375
1415.58488589703,12543.0
1281.31488093767,21682.900390625
1859.78025036411,22463.099609375
1321.99178248249,13891.7001953125
1400.32791543268,15168.2998046875
1271.42244701535,18133.80078125
1377.77452039388,14976.900390625
1166.40685792076,88917.796875
1551.59655262574,18048.400390625
1910.99744658789,28460.599609375
1953.01562148533,25275.19921875
916.229139700111,10639.5
1452.48187576581,17737.0
1016.96363551218,18037.30078125
1439.69940595317,56355.0
1202.99122184079,20635.599609375
1162.60834683843,23365.099609375
1931.29463340803,69354.703125
1991.6651877451,39850.8984375
960.227650185272,13395.2998046875
1512.93651723908,17287.30078125
1119.03862506104,11721.2001953125
984.952943559167,18211.19921875
1694.32416425493,20016.5
1106.24757947424,13594.2001953125
2255.77408402044,36154.80078125
921.592172697322,11967.5
1109.00508067307,12528.7998046875
1086.31224577398,17648.5
1099.28895130255,13144.099609375
964.697521872897,14577.7001953125
1244.55131674991,21664.30078125
896.445218531845,13487.5
1356.03504428399,32844.30078125
1933.96938395495,28821.0
1003.09493809777,10760.0
1418.28313629261,16042.599609375
1421.04275359156,17977.19921875
1776.54645938174,22049.400390625
1284.10590561729,18044.30078125
1254.01039564316,32355.400390625
888.355033666417,10974.0
1621.4269654719,21251.80078125
1223.70494626276,19271.69921875
952.998495319769,15874.7001953125
1508.17328725113,9348.5
1832.05833647825,19080.69921875
1704.32039845663,17676.900390625
2082.29664198644,27204.900390625
967.011644410533,14236.2001953125
1260.03671465312,21984.80078125
1477.52547514666,19826.900390625
1038.66635830426,38895.8984375
1054.43330889662,29207.099609375
1723.41931574253,22197.69921875
1098.22833964955,16599.400390625
930.216951276325,12968.7998046875
1981.88791421858,20246.5
1167.95072001609,16986.099609375
2081.71148461746,22915.69921875
1882.12025341225,18125.30078125
1379.9517646661,60402.3984375
1378.13381191887,9575.5
1574.27936389271,21483.80078125
1647.90115990501,20035.0
1209.20854672966,17164.099609375
1488.31491277088,21317.599609375
1395.0169496357,21446.69921875
