DNA content,Total MTBP (GFP)
1250.21010258178,58541.8984375
1093.39594659991,63800.3984375
1298.40550783958,41364.30078125
1326.07752631217,51483.6015625
990.042275712397,34282.19921875
2153.54417366833,74708.6015625
1387.08714288434,72231.6015625
2040.5767258317,59279.5
1473.792897289,34930.19921875
1406.31079870342,52664.69921875
1019.12695807311,41947.5
1123.70707603852,45252.30078125
1836.00007412634,57690.8984375
1153.99325777049,55031.69921875
981.601709217196,32077.19921875
1418.93044018079,48654.19921875
1082.98417715959,57353.69921875
1005.0775011593,36819.3984375
1701.16128373048,48157.3984375
2130.62012698811,77597.796875
1061.36632111954,65117.1015625
1365.19341421335,40069.19921875
1716.16454492826,43471.80078125
1582.14368291416,47428.69921875
1072.80985642706,50119.8984375
1959.097070472,75290.1015625
1080.02687156031,56581.19921875
1669.62593468778,53970.5
1755.52022038471,108992.296875
1847.28178346181,104298.8984375
1129.41798475747,66996.703125
2195.19904758792,106272.703125
1480.40437366795,57351.19921875
1921.32579713415,85806.0
1355.7677474272,41752.69921875
1092.77759987121,26674.900390625
1253.95225857681,56350.80078125
1227.11821575024,65562.5
1045.63077790785,63812.80078125
1441.40687599959,110345.3984375
1362.17897391093,63608.0
1401.84727531614,47967.69921875
1053.19739505505,54654.19921875
2212.9417674467,89166.796875
981.631334618823,59562.8984375
1151.09074802685,65418.6015625
1017.38206646674,34255.0
1837.55184375368,86155.203125
2080.7541163754,69916.703125
1759.26805643794,93729.5
1249.70546839091,23788.19921875
2096.94339600148,42425.69921875
1537.50466233592,41165.0
1147.2648390167,44648.30078125
1314.33818248314,49631.3984375
1883.25025087432,24668.19921875
2124.53823250668,72112.203125
1555.98701487216,59183.69921875
1468.80480382028,43319.0
1118.72889482823,79125.703125
1784.53796715754,75734.1015625
1364.9855909072,49073.0
1201.40670834849,65311.19921875
1545.94946103135,64913.5
1987.78203265812,87405.8984375
1281.44752700285,74771.203125
1478.6431101291,37775.19921875
2081.75848431478,105429.296875
1001.09054579294,24118.30078125
1073.48344450616,63519.1015625
