DNA content,Total MTBP (GFP)
1973.57275449869,16059.599609375
1375.69528496914,11080.2001953125
2026.66125146736,18077.69921875
1014.81891235753,9900.599609375
1360.61083235111,10318.5
1354.20428356237,10320.2001953125
1937.97750032247,23036.30078125
1030.5178136251,10908.400390625
955.48045800873,7371.0
1167.15061142477,9339.900390625
1464.27891116642,12484.599609375
1893.76504097819,19654.599609375
963.732802967276,5672.10009765625
943.440627963198,6253.5
2175.36406158264,16976.099609375
2020.10557330727,15711.2001953125
1166.16127893359,9876.2001953125
1522.48157662126,12748.099609375
1720.29405861824,15579.2001953125
1611.17524002458,12885.099609375
1118.32661305877,13318.599609375
2152.69907010612,19136.099609375
1858.85039142357,15858.5
1988.98687324009,16105.599609375
2174.84194172238,15475.2001953125
1941.06923396598,16209.7001953125
1814.78917755075,11980.7001953125
1852.23858092355,17277.099609375
1630.74315192046,11647.7001953125
1344.59518430825,12453.5
1817.74091446551,17091.0
2039.2041564721,20073.19921875
2148.84464943125,16103.7998046875
1621.66085022159,14451.0
1220.40973288702,11337.2001953125
1900.92436453986,15657.599609375
1047.54774186578,7677.60009765625
1993.84677559125,16413.099609375
1571.98384076136,11440.5
2107.17306945811,14936.099609375
1093.4443941552,9010.2001953125
904.295894276223,8536.7001953125
1827.48254841113,12757.7001953125
1610.5163532726,16057.0
1112.55366919431,11794.2001953125
1347.5378999541,12413.2001953125
1017.12869132125,10077.599609375
1201.57844657898,10544.599609375
1817.53064093817,13448.099609375
2018.99005442494,12985.599609375
1738.21219203928,11046.0
1067.88725068825,9875.599609375
1881.05351620629,16262.7001953125
1064.75742724265,9056.099609375
2285.68282031589,20397.599609375
1014.1353006463,8620.0
1144.05014881907,10795.2001953125
1060.24545630008,12362.099609375
1123.23952928652,10166.599609375
2090.81450182273,17581.099609375
1973.99307880599,17611.0
999.090385688336,8513.099609375
1963.61505559384,15769.7001953125
1015.06371172887,10529.2001953125
1833.25337617547,18202.599609375
1234.05612841553,10461.2001953125
1953.95316521051,16535.599609375
1842.73673453321,13345.099609375
1937.87258630618,12076.099609375
967.427847891289,7771.0
2101.43687891146,15176.099609375
1007.62394921496,9147.7001953125
1975.22442632626,18238.69921875
1566.04027240332,14087.099609375
1918.50759727409,21735.5
975.385832186298,9513.2001953125
2083.17849886646,18045.30078125
